"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","tangjp"
"Cmdline:","dstat -cdlmnpsy --output incresingle.csv",,,,"Date:","09 Mar 2014 18:34:28 CST"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"swap",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","buff","cach","free","recv","send","run","blk","new","used","free","int","csw"
1.870,10.848,87.157,0.0,0.0,0.125,0.0,0.0,1.420,0.440,0.190,2161991680.0,136110080.0,4408700928.0,1660456960.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,568.0,1020.0,
11.500,1.125,87.375,0.0,0.0,0.0,0.0,0.0,1.420,0.440,0.190,2169737216.0,136110080.0,4408700928.0,1652711424.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,488.0,147.0,
12.125,0.375,87.375,0.0,0.0,0.125,0.0,139264.0,1.390,0.450,0.190,2170740736.0,136118272.0,4408705024.0,1651695616.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,506.0,183.0,
11.985,0.624,87.016,0.250,0.0,0.125,12288.0,8028160.0,1.390,0.450,0.190,2176327680.0,136130560.0,4408692736.0,1646108672.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,619.0,180.0,
11.779,0.752,87.469,0.0,0.0,0.0,0.0,0.0,1.390,0.450,0.190,2189856768.0,136130560.0,4410486784.0,1630785536.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,548.0,284.0,
11.955,0.623,87.173,0.0,0.0,0.249,0.0,0.0,1.390,0.450,0.190,2191446016.0,136130560.0,4420833280.0,1618849792.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,475.0,317.0,
12.110,0.499,87.141,0.0,0.0,0.250,0.0,0.0,1.390,0.450,0.190,2193592320.0,136130560.0,4432527360.0,1605009408.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,499.0,316.0,
12.344,0.249,87.282,0.0,0.0,0.125,0.0,77824.0,1.350,0.450,0.190,2194878464.0,136138752.0,4437073920.0,1599168512.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,484.0,177.0,
12.469,0.504,86.902,0.0,0.0,0.126,0.0,4440064.0,1.350,0.450,0.190,2194919424.0,136138752.0,4442357760.0,1593843712.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,1092.0,1255.0,
12.217,0.378,87.406,0.0,0.0,0.0,0.0,0.0,1.350,0.450,0.190,2195423232.0,136138752.0,4450996224.0,1584701440.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,889.0,840.0,
11.845,0.998,86.908,0.0,0.0,0.249,0.0,0.0,1.350,0.450,0.190,2195505152.0,136138752.0,4458532864.0,1577082880.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,652.0,481.0,
12.0,0.625,87.375,0.0,0.0,0.0,0.0,0.0,1.350,0.450,0.190,2195685376.0,136138752.0,4468891648.0,1566543872.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,516.0,330.0,
11.625,1.375,86.750,0.0,0.0,0.250,0.0,90112.0,1.330,0.460,0.200,2195955712.0,136146944.0,4478898176.0,1556258816.0,0.0,0.0,1.0,0.0,1.0,0.0,8587833344.0,861.0,837.0,
12.015,0.751,86.358,0.876,0.0,0.0,4096.0,49352704.0,1.330,0.460,0.200,2196754432.0,136151040.0,4490031104.0,1544323072.0,0.0,0.0,2.0,0.0,0.0,0.0,8587833344.0,879.0,442.0,
11.389,1.126,87.359,0.0,0.0,0.125,0.0,0.0,1.330,0.460,0.200,2196942848.0,136151040.0,4504223744.0,1529942016.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,519.0,335.0,
10.959,1.743,87.173,0.0,0.0,0.125,0.0,0.0,1.330,0.460,0.200,2197483520.0,136151040.0,4516286464.0,1517338624.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,640.0,439.0,
11.514,1.001,87.359,0.0,0.0,0.125,0.0,0.0,1.330,0.460,0.200,2197745664.0,136151040.0,4524818432.0,1508544512.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,597.0,577.0,
13.250,1.125,84.625,0.750,0.0,0.250,4096.0,69632.0,1.300,0.470,0.200,2198999040.0,136159232.0,4534509568.0,1497591808.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,927.0,2096.0,
11.500,1.375,87.0,0.0,0.0,0.125,0.0,4096.0,1.300,0.470,0.200,2199302144.0,136159232.0,4548452352.0,1483345920.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,750.0,1098.0,
10.625,2.0,87.375,0.0,0.0,0.0,0.0,0.0,1.300,0.470,0.200,2199662592.0,136159232.0,4562219008.0,1469218816.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,522.0,549.0,
10.625,2.0,87.375,0.0,0.0,0.0,0.0,0.0,1.300,0.470,0.200,2200154112.0,136159232.0,4578521088.0,1452425216.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,598.0,422.0,
10.0,2.625,87.250,0.0,0.0,0.125,0.0,0.0,1.300,0.470,0.200,2200891392.0,136159232.0,4591529984.0,1438679040.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,688.0,523.0,
9.613,2.996,87.266,0.0,0.0,0.125,0.0,20480.0,1.280,0.480,0.210,2201530368.0,136167424.0,4606660608.0,1422901248.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,704.0,554.0,
8.875,4.0,86.875,0.0,0.0,0.250,0.0,3424256.0,1.280,0.480,0.210,2202185728.0,136167424.0,4623687680.0,1405218816.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,930.0,985.0,
8.750,4.0,87.125,0.0,0.0,0.125,0.0,0.0,1.280,0.480,0.210,2202750976.0,136167424.0,4640931840.0,1387409408.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,730.0,603.0,
8.489,4.120,87.266,0.0,0.0,0.125,0.0,0.0,1.280,0.480,0.210,2203439104.0,136167424.0,4661354496.0,1366298624.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,698.0,584.0,
8.989,3.745,87.266,0.0,0.0,0.0,0.0,0.0,1.280,0.480,0.210,2204205056.0,136167424.0,4680970240.0,1345916928.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,696.0,466.0,
9.136,3.504,87.359,0.0,0.0,0.0,0.0,36864.0,1.250,0.490,0.210,2204692480.0,136175616.0,4700823552.0,1325568000.0,0.0,0.0,1.0,0.0,1.0,0.0,8587833344.0,657.0,616.0,
10.163,2.760,87.077,0.0,0.0,0.0,0.0,3469312.0,1.250,0.490,0.210,2205818880.0,129851392.0,4710133760.0,1321455616.0,0.0,0.0,1.0,0.0,0.0,0.0,8587833344.0,737.0,635.0,
12.045,0.627,87.327,0.0,0.0,0.0,0.0,36864.0,1.250,0.490,0.210,2205888512.0,125808640.0,4713635840.0,1321926656.0,0.0,0.0,1.0,0.0,0.0,36864.0,8587796480.0,713.0,658.0,
12.250,0.375,87.125,0.0,0.0,0.250,0.0,40960.0,1.250,0.490,0.210,2206576640.0,123506688.0,4715601920.0,1321574400.0,0.0,0.0,1.0,0.0,0.0,77824.0,8587755520.0,854.0,731.0,
11.500,1.250,87.250,0.0,0.0,0.0,0.0,12288.0,1.250,0.490,0.210,2206134272.0,120434688.0,4717531136.0,1323159552.0,0.0,0.0,1.0,0.0,0.0,90112.0,8587743232.0,661.0,492.0,
12.125,0.375,87.375,0.0,0.0,0.125,0.0,28672.0,1.230,0.500,0.220,2206564352.0,120442880.0,4720238592.0,1320013824.0,0.0,0.0,1.0,0.0,0.0,90112.0,8587743232.0,551.0,89.0,
11.375,1.0,87.500,0.0,0.0,0.125,0.0,37806080.0,1.230,0.500,0.220,2206355456.0,120446976.0,4724760576.0,1315696640.0,0.0,0.0,1.0,0.0,0.0,90112.0,8587743232.0,665.0,75.0,
11.0,1.625,87.375,0.0,0.0,0.0,0.0,0.0,1.230,0.500,0.220,2206539776.0,120446976.0,4732448768.0,1307824128.0,0.0,0.0,1.0,0.0,0.0,90112.0,8587743232.0,462.0,123.0,
11.139,1.377,87.484,0.0,0.0,0.0,0.0,0.0,1.230,0.500,0.220,2207010816.0,120446976.0,4744548352.0,1295253504.0,0.0,0.0,1.0,0.0,0.0,90112.0,8587743232.0,540.0,80.0,
10.349,2.369,86.534,0.623,0.0,0.125,200704.0,0.0,1.230,0.500,0.220,2207637504.0,120446976.0,4757626880.0,1281548288.0,402.0,402.0,1.0,1.0,1.0,90112.0,8587743232.0,579.0,231.0,
11.028,1.880,84.837,2.256,0.0,0.0,999424.0,65536.0,1.220,0.510,0.220,2207576064.0,117186560.0,4759203840.0,1283293184.0,0.0,0.0,1.0,0.0,4.0,102400.0,8587730944.0,769.0,1205.0,
10.250,2.375,87.0,0.250,0.0,0.125,4096.0,37797888.0,1.220,0.510,0.220,2208075776.0,116834304.0,4757909504.0,1284440064.0,0.0,0.0,1.0,0.0,0.0,102400.0,8587730944.0,755.0,349.0,
8.0,4.375,86.250,1.125,0.0,0.250,40960.0,12144640.0,1.220,0.510,0.220,949964800.0,114630656.0,4869021696.0,2433642496.0,0.0,0.0,1.0,1.0,3.0,102400.0,8587730944.0,747.0,738.0,
0.128,4.493,78.691,16.560,0.0,0.128,8192.0,117964800.0,1.220,0.510,0.220,954589184.0,109400064.0,5089624064.0,2213646336.0,0.0,0.0,0.0,2.0,0.0,102400.0,8587730944.0,795.0,573.0,
1.515,2.525,78.914,16.667,0.0,0.379,24576.0,124256256.0,1.220,0.510,0.220,809992192.0,107212800.0,4640804864.0,2809249792.0,0.0,0.0,0.0,2.0,5.0,102400.0,8587730944.0,775.0,565.0,
0.0,0.125,84.442,15.433,0.0,0.0,24576.0,45944832.0,1.360,0.550,0.240,809783296.0,107216896.0,4640985088.0,2809274368.0,0.0,0.0,1.0,1.0,0.0,102400.0,8587730944.0,243.0,133.0,
0.0,0.251,87.186,12.563,0.0,0.0,0.0,45740032.0,1.360,0.550,0.240,809844736.0,107220992.0,4640989184.0,2809204736.0,0.0,0.0,0.0,1.0,3.0,102400.0,8587730944.0,301.0,399.0,
0.125,0.125,87.359,12.390,0.0,0.0,28672.0,40501248.0,1.360,0.550,0.240,809803776.0,107220992.0,4641005568.0,2809229312.0,0.0,0.0,0.0,1.0,5.0,102400.0,8587730944.0,259.0,336.0,
5.827,4.567,84.252,5.039,0.0,0.315,49152.0,8192.0,1.360,0.550,0.240,822407168.0,107220992.0,4641034240.0,2796597248.0,0.0,0.0,2.0,0.0,80.0,102400.0,8587730944.0,1255.0,2236.0,
16.688,4.930,78.255,0.0,0.0,0.126,0.0,0.0,1.360,0.550,0.240,847925248.0,107233280.0,4618711040.0,2793390080.0,0.0,0.0,3.0,0.0,27.0,102400.0,8587730944.0,1920.0,1886.0,
9.296,1.759,88.945,0.0,0.0,0.0,0.0,442368.0,1.250,0.540,0.230,848154624.0,107257856.0,4618661888.0,2793185280.0,0.0,0.0,1.0,0.0,1.0,102400.0,8587730944.0,816.0,1694.0,
32.375,3.125,64.0,0.250,0.0,0.250,4096.0,0.0,1.250,0.540,0.230,916828160.0,107261952.0,4618657792.0,2724511744.0,0.0,0.0,2.0,0.0,0.0,102400.0,8587730944.0,1986.0,1392.0,
34.793,1.502,63.579,0.0,0.0,0.125,0.0,0.0,1.250,0.540,0.230,921403392.0,107274240.0,4619059200.0,2719522816.0,384.0,384.0,3.0,0.0,0.0,102400.0,8587730944.0,1183.0,881.0,
36.226,1.635,62.013,0.0,0.0,0.126,0.0,0.0,1.250,0.540,0.230,965500928.0,107290624.0,4620840960.0,2673627136.0,486.0,486.0,3.0,0.0,0.0,102400.0,8587730944.0,1284.0,1696.0,
35.955,1.873,62.172,0.0,0.0,0.0,0.0,0.0,1.250,0.540,0.230,971743232.0,107356160.0,4625154048.0,2663006208.0,162.0,162.0,5.0,0.0,0.0,102400.0,8587730944.0,1147.0,614.0,
21.899,4.430,72.658,0.886,0.0,0.127,163840.0,1519616.0,1.150,0.530,0.230,1018425344.0,107376640.0,4625485824.0,2615971840.0,162.0,162.0,3.0,0.0,28.0,102400.0,8587730944.0,2505.0,2694.0,
36.604,2.138,61.258,0.0,0.0,0.0,0.0,503808.0,1.150,0.530,0.230,1047519232.0,107384832.0,4625600512.0,2586755072.0,486.0,486.0,3.0,0.0,0.0,102400.0,8587730944.0,2375.0,1885.0,
38.783,0.887,60.330,0.0,0.0,0.0,0.0,0.0,1.150,0.530,0.230,1117892608.0,107384832.0,4625600512.0,2516381696.0,162.0,162.0,3.0,0.0,0.0,102400.0,8587730944.0,1455.0,1447.0,
36.921,1.126,61.827,0.0,0.0,0.125,0.0,0.0,1.150,0.530,0.230,1214287872.0,107384832.0,4625600512.0,2419986432.0,162.0,162.0,2.0,0.0,0.0,102400.0,8587730944.0,1407.0,1061.0,
20.497,1.739,77.764,0.0,0.0,0.0,0.0,0.0,1.150,0.530,0.230,1332015104.0,107384832.0,4625600512.0,2302259200.0,810.0,810.0,10.0,0.0,0.0,102400.0,8587730944.0,1338.0,2371.0,
15.830,0.772,83.269,0.0,0.0,0.129,0.0,0.0,1.140,0.540,0.240,1402953728.0,107384832.0,4625600512.0,2231320576.0,162.0,162.0,1.0,0.0,0.0,102400.0,8587730944.0,1472.0,2205.0,
33.548,1.032,65.161,0.0,0.0,0.258,0.0,16384.0,1.140,0.540,0.240,1405730816.0,107393024.0,4625600512.0,2228535296.0,810.0,810.0,3.0,0.0,1.0,102400.0,8587730944.0,1415.0,2241.0,
28.733,0.627,70.640,0.0,0.0,0.0,0.0,0.0,1.140,0.540,0.240,978702336.0,107393024.0,4627095552.0,2654068736.0,162.0,162.0,0.0,0.0,0.0,102400.0,8587730944.0,1218.0,1425.0,
3.379,0.375,96.120,0.0,0.0,0.125,0.0,0.0,1.140,0.540,0.240,984821760.0,107393024.0,4627529728.0,2647515136.0,0.0,0.0,2.0,0.0,10.0,102400.0,8587730944.0,394.0,873.0,
8.010,0.501,91.489,0.0,0.0,0.0,0.0,0.0,1.140,0.540,0.240,979173376.0,107393024.0,4629495808.0,2651197440.0,0.0,0.0,1.0,0.0,1.0,102400.0,8587730944.0,467.0,459.0,
12.609,0.375,86.891,0.0,0.0,0.125,0.0,0.0,1.130,0.550,0.240,978862080.0,107393024.0,4631318528.0,2649686016.0,648.0,648.0,1.0,0.0,0.0,102400.0,8587730944.0,662.0,1473.0,
12.516,0.250,87.234,0.0,0.0,0.0,0.0,110592.0,1.130,0.550,0.240,979025920.0,107401216.0,4635336704.0,2645495808.0,0.0,0.0,1.0,0.0,0.0,102400.0,8587730944.0,533.0,250.0,
6.953,4.734,87.574,0.296,0.0,0.444,24576.0,16601088.0,1.130,0.550,0.240,798736384.0,107401216.0,4194631680.0,3266490368.0,972.0,972.0,1.0,0.0,48.0,102400.0,8587730944.0,1356.0,3359.0,
7.309,5.288,84.759,2.333,0.0,0.311,241664.0,180224.0,1.130,0.550,0.240,799731712.0,107429888.0,4184104960.0,3275993088.0,486.0,486.0,0.0,0.0,94.0,102400.0,8587730944.0,1678.0,4135.0,
0.125,0.250,99.625,0.0,0.0,0.0,0.0,0.0,1.130,0.550,0.240,799129600.0,107429888.0,4184399872.0,3276300288.0,162.0,162.0,0.0,0.0,0.0,102400.0,8587730944.0,206.0,513.0,
1.623,0.999,97.004,0.0,0.0,0.375,0.0,1073152.0,1.040,0.540,0.240,803483648.0,107429888.0,4185444352.0,3270901760.0,648.0,648.0,2.0,0.0,0.0,102400.0,8587730944.0,863.0,1267.0,
10.674,6.882,79.916,0.281,0.0,2.247,0.0,12484608.0,1.040,0.540,0.240,822190080.0,107442176.0,4194050048.0,3243577344.0,0.0,0.0,2.0,0.0,54.0,102400.0,8587730944.0,4877.0,3184.0,
14.030,3.026,82.531,0.0,0.0,0.413,0.0,20480.0,1.040,0.540,0.240,830566400.0,107442176.0,4194418688.0,3234832384.0,862.0,708.0,0.0,0.0,30.0,102400.0,8587730944.0,1572.0,2737.0,
0.250,0.875,98.750,0.0,0.0,0.125,0.0,0.0,1.040,0.540,0.240,830885888.0,107442176.0,4194455552.0,3234476032.0,972.0,972.0,0.0,0.0,10.0,102400.0,8587730944.0,664.0,2282.0,
0.125,1.250,98.500,0.0,0.0,0.125,0.0,0.0,1.040,0.540,0.240,831234048.0,107442176.0,4194488320.0,3234095104.0,1134.0,1134.0,0.0,0.0,15.0,102400.0,8587730944.0,743.0,2432.0,
1.001,0.501,98.373,0.0,0.0,0.125,0.0,0.0,0.950,0.530,0.240,831913984.0,107442176.0,4194516992.0,3233386496.0,12268.0,1044.0,0.0,0.0,10.0,102400.0,8587730944.0,438.0,1250.0,
0.125,0.626,99.124,0.0,0.0,0.125,0.0,3100672.0,0.950,0.530,0.240,832229376.0,107450368.0,4194549760.0,3233030144.0,194.0,162.0,0.0,0.0,16.0,102400.0,8587730944.0,571.0,1318.0,
